stock,date,net_pnl,gross_pnl,impact_cost,turnover,gross_notional,predicted_alpha,realised_alpha
AAL,2019-01-02,-38.73063591254775,40.2824991921434,79.01313510469114,14451.291473029096,466341.35138114163,2861.9754325758167,40.2824991921385
AAL,2019-01-03,213.39909193402286,205.80188410696329,-7.597207827059577,29684.14198241398,889173.8346734885,5986.659469159705,205.80188410694933
AAL,2019-01-04,-205.04125635769293,-238.23682731387922,-33.19557095618629,28822.350045382067,913063.9302208205,5903.763711011015,-238.23682731384426
AAL,2019-01-07,-174.8763861156144,-167.90830751423894,6.968078601375453,27688.281945045248,911405.609977072,5559.624758120181,-167.9083075142425
AAL,2019-01-08,311.47952367549794,620.0843258695597,308.6048021940618,26124.367693011685,853272.6752815327,5322.002934724786,620.0843258696719
AAL,2019-01-09,-275.6160191856448,-308.28119164219345,-32.665172456548646,272.38557299407614,8874.555476467418,58.66557166524995,-308.2811916422037
AAL,2019-01-10,-910.4074549627051,-1137.852851104063,-227.44539614135783,25753.31782625166,804415.8137291137,5194.601838857527,-1137.8528511040563
AAL,2019-01-11,105.88781016183516,21.781854076622473,-84.10595608521268,25027.681032482633,791759.5875621184,5141.853051070089,21.78185407663767
AAL,2019-01-14,-43.74131222601603,-84.2509040976057,-40.50959187158967,24316.065444752843,768957.4732041479,4870.729309034873,-84.25090409763823
AAL,2019-01-15,1.1547061699896766,-135.36426362000878,-136.51896978999847,23813.410392609323,764567.5616675352,4976.855203138719,-135.36426362000768
AAL,2019-01-16,-110.4451796479706,-88.3509776879302,22.094201960040408,24006.029926647858,797355.8147348468,4743.553393836726,-88.35097768792447
AAL,2019-01-17,89.00904822255042,44.68738674042598,-44.32166148212444,23261.873009193445,774314.9830865074,4685.618137650993,44.68738674044326
AAL,2019-01-18,93.60360770928483,57.226956694629834,-36.376651014654996,22954.443668554777,776340.2540147782,4742.239157939366,57.22695669460701
AAL,2019-01-22,141.44456247235627,-50.390421926229514,-191.8349843985858,22922.189726333338,759460.1086086949,4765.5247322406285,-50.390421926234275
AAL,2019-01-23,-332.33974450166124,-548.3739230488186,-216.03417854715735,23991.519859260457,773362.7154797685,4901.898811585004,-548.3739230488166
AAL,2019-01-24,-215.09298076555154,-92.14269686605337,122.95028389949817,24349.88021952923,810994.8348804676,4893.061809306252,-92.14269686606914
AAL,2019-01-25,566.0245294696219,334.0563684833739,-231.96816098624805,25038.690612882383,878091.66379855,5135.872330584622,334.05636848335723
AAL,2019-01-28,192.5559932535523,272.7734405495278,80.21744729597549,25584.512759824996,925175.1688150016,5280.271815569713,272.77344054952937
AAL,2019-01-29,26.782399530515967,97.86298341238775,71.08058388187177,25552.45215659019,933137.0162042654,5185.927031731429,97.86298341239986
AAL,2019-01-30,-104.81663996413035,84.77622620487938,189.5928661690097,25406.628185372792,925310.1571809817,5114.4505337968185,84.77622620486952
AAL,2019-01-31,52.29182901501355,73.3872302658273,21.09540125081375,26041.355197006822,939567.959418372,5120.96456891464,73.3872302658717
AAL,2019-02-01,73.43942010818796,-87.54961900729114,-160.9890391154791,24744.532410259766,897976.3397482567,5060.943737561118,-87.54961900714702
AAL,2019-02-04,-575.8176886405527,-449.16453027436484,126.65315836618782,24151.178184951234,884901.775696435,4795.360947972175,-449.1645302742452
AAL,2019-02-05,-104.91431981701578,-12.687725166412108,92.22659465060367,24039.429503576295,888116.9443328965,4784.378752063753,-12.68772516647428
AAL,2019-02-06,-473.5398961553456,37.48516056577711,511.0250567211227,23862.20175704479,878435.317430004,4805.499936959845,37.48516056546771
AAL,2019-02-07,-19.156929559485604,395.8840941049137,415.0410236643993,25263.31177132293,917532.594957127,5146.126543694605,395.8840941049994
AAL,2019-02-08,-398.85573544322074,-59.953462049214295,338.90227339400644,23690.320412275032,848471.1726917396,4741.021684641941,-59.953462049009374
AAL,2019-02-11,-662.4798981742181,-672.3116657847622,-9.831767610544148,23620.906486129476,860758.9797840428,4783.078143641621,-672.3116657849079
AAL,2019-02-12,750.8189926311929,1100.0995664428076,349.28057381161466,24300.33358752798,890991.4998964577,4907.6303449282905,1100.099566442831
AAL,2019-02-13,-523.4450096839029,-337.2464210634473,186.19858862045555,24225.01599106189,875848.596120219,4799.561533379561,-337.24642106313377
