stock,date,pnl_mid,pnl_sim,impact_cost,turnover,abs_position_mean,abs_position_max,max_impact_dislocation,n_bins
AAL,2019-01-02,68.96029816079479,-39.81810460793427,108.77840276872907,15751.932541855798,68.09919386487388,275.1891095595472,2.3010953619908078e-05,2339
AAL,2019-01-03,351.9572688479633,397.63794420215277,-45.680675354189475,31964.164709160017,115.0782698620022,483.2678421413505,2.994270369289133e-05,2338
AAL,2019-01-04,-237.1826458211471,-188.21603082391823,-48.966614997228874,31050.89485210064,214.088761572487,640.8933972193422,3.16042780060766e-05,2324
AAL,2019-01-07,239.30881695878685,249.8639283684201,-10.555111409633241,29640.356655513875,131.28692452220406,462.32996264464236,2.5412381708922676e-05,2335
AAL,2019-01-08,201.7091785017024,155.11903475016658,46.590143751535834,28141.81955794602,174.26459790532115,518.696082917125,2.676147491584368e-05,2333
AAL,2019-01-09,10.807503326225492,10.710718933577231,0.09678439264826011,282.24004101629544,16.787558782749606,27.823828702352152,3.328405477059405e-06,58
AAL,2019-01-10,-338.4318542560647,-183.2805141619101,-155.1513400941546,27129.94933631541,199.30794990153043,455.23603845540407,3.935141640322369e-05,2339
AAL,2019-01-11,44.44535979812362,81.07706401238684,-36.63170421426322,26566.680691506088,99.80647059927395,267.7678145333145,2.687027506047536e-05,2330
AAL,2019-01-14,134.38671562383504,383.9492357769936,-249.56252015315854,25689.588171430383,276.40143872230266,669.6201273590833,4.8071337180069104e-05,2338
AAL,2019-01-15,-39.20004890413041,-5.550334810841548,-33.649714093288864,25477.525795182206,250.35693154705262,640.9973556432365,4.858598865533851e-05,2339
AAL,2019-01-16,-83.14697575097375,181.9665012649893,-265.11347701596304,25284.526008048506,87.72292735537384,363.36792278516884,2.5218091411896246e-05,2334
AAL,2019-01-17,113.37318085303424,176.3480237603319,-62.974842907297656,24627.31831281381,154.40719001764174,462.7743912366,2.821341056136175e-05,2335
AAL,2019-01-18,73.81545788902814,193.9940570906268,-120.17859920159866,24473.66600543735,175.25824812474661,542.0855806603181,3.902241998741878e-05,2338
AAL,2019-01-22,69.21834111255023,284.7584775307538,-215.54013641820356,24477.67876487688,120.81298143610599,372.0984292980545,2.737798575045017e-05,2337
AAL,2019-01-23,-118.88028742544822,-68.10212658036998,-50.77816084507823,25670.976033278173,93.07838920766112,377.3463786281231,2.3524603670720888e-05,2340
AAL,2019-01-24,148.25336810667835,156.29035628762256,-8.036988180944206,25965.761291328447,94.5310053434218,328.26545000038726,1.8313512462461778e-05,2336
AAL,2019-01-25,144.56549816129288,124.10864042066254,20.45685774063034,26537.0504691589,128.3140730463337,526.9097500567982,3.193566694077561e-05,2333
AAL,2019-01-28,-36.52259015039944,46.60144314331811,-83.12403329371755,27128.66594953741,141.1708294332291,372.982952744453,2.1688947241048775e-05,2340
AAL,2019-01-29,66.67582284549653,12.074537063738468,54.60128578175806,27108.86319078308,147.09312714626233,465.3421852796132,3.069958063884002e-05,2338
