stock,date,net_pnl,gross_pnl,impact_cost,turnover,gross_notional,predicted_alpha,realised_alpha
AAL,2019-01-02,-80.7665956132805,18.185538983502,98.9521345967825,16366.807079262231,528186.4315135665,3260.020481557085,18.1855389834984
AAL,2019-01-03,83.5157451660768,66.7485967980448,-16.767148368031997,33562.66810355244,1005176.1377418559,6817.070792118971,66.74859679803002
AAL,2019-01-04,-267.84774577486985,-276.18825123097224,-8.340505456102392,32582.767200629034,1032294.6642455196,6724.033329477323,-276.1882512309317
AAL,2019-01-07,109.4018086210285,42.353791617982964,-67.04801700304553,31329.775314128063,1031354.74272654,6331.642780990937,42.353791617982615
AAL,2019-01-08,133.27665975255633,184.326420934503,51.04976118194668,29544.36683855177,964901.0047929303,6062.305233823867,184.32642093454604
AAL,2019-01-09,2.593807190776814,1.7607565585888068,-0.8330506321880071,244.1352339395567,7968.400239143069,53.35704456044767,1.7607565585889975
AAL,2019-01-10,-335.810525552278,-504.25431517342935,-168.44378962115132,29048.437152571118,907380.5538143173,5914.339167851129,-504.25431517341053
AAL,2019-01-11,43.87709617850376,-8.791909661749122,-52.669005840252886,28270.974678512375,894355.7507312422,5855.351427417752,-8.791909661753667
AAL,2019-01-14,351.33106093513993,81.52968970992765,-269.8013712252123,27477.226814898302,868954.3394702116,5545.745766300056,81.529689709969
AAL,2019-01-15,-64.00870182454457,-114.20510863684618,-50.1964068123016,26916.375615166467,864219.5922839225,5666.675666386092,-114.20510863682969
AAL,2019-01-16,150.80796075358543,-106.10114455865815,-256.9091053122436,27103.760473655842,900282.1424217249,5400.99357825699,-106.10114455864628
AAL,2019-01-17,140.40635627393416,70.95481633178363,-69.45153994215053,26242.291224454304,873554.4558064629,5334.758429295111,70.95481633180735
AAL,2019-01-18,164.48528015450253,37.82292827681853,-126.662351877684,25947.024020958303,877560.0884379656,5401.063448620616,37.82292827680997
AAL,2019-01-22,260.28388835254066,38.54273453600336,-221.7411538165373,25878.22126480177,857346.1389193579,5425.9885966106085,38.54273453600552
AAL,2019-01-23,-150.53080324956127,-217.64671309454752,-67.11590984498625,27076.41155475023,872735.8068559305,5581.91674635466,-217.6467130945577
AAL,2019-01-24,63.263272098843785,58.99324663169918,-4.270025467144606,27497.94752324138,915776.5336033115,5572.233184807284,58.99324663171954
AAL,2019-01-25,-12.921521915755939,28.76118627118904,41.68270818694498,28272.01987140484,991570.8069791032,5849.297524439622,28.761186271198824
AAL,2019-01-28,-23.00459095327663,-92.66474622912594,-69.6601552758493,28878.736863297705,1044425.5003986598,6012.598715873085,-92.6647462291263
AAL,2019-01-29,-49.91648138087551,57.18580448891339,107.1022858697889,28841.060922904704,1053201.1422304856,5902.702522472395,57.185804488915316
AAL,2019-01-30,9.004245095830647,-2.81586953330126,-11.820114629131908,28648.120255121994,1043362.0567630916,5821.519473179755,-2.815869533331245
AAL,2019-01-31,-125.2791774221461,-73.61716501960488,51.66201240254122,29391.532848159724,1060410.306675443,5831.402231929793,-73.61716501961439
AAL,2019-02-01,85.89947697018124,0.24304572405122826,-85.65643124613001,27947.23544104495,1014230.8246551174,5764.105606729928,0.2430457240857038
AAL,2019-02-04,-37.041224072096156,4.468221826398789,41.509445898494945,27293.78346402374,1000075.8028979072,5460.18584942322,4.468221826410325
AAL,2019-02-05,43.00767110219115,73.3462366799688,30.338565577777644,27134.404530709195,1002459.4002581174,5448.18807264319,73.34623667998535
AAL,2019-02-06,-115.9614611258412,3.6558291602237603,119.61729028606496,26969.524439337227,992827.5073671839,5472.237458009238,3.655829160208789
AAL,2019-02-07,20.051972398163258,81.06902540175963,61.017053003596374,28586.812061977944,1038227.8404168659,5861.082113052036,81.06902540177606
AAL,2019-02-08,-92.56361848924807,25.268631856949764,117.83225034619784,26791.077106533725,959531.9825326912,5399.98503182366,25.268631857005076
AAL,2019-02-11,-6.992826491900576,-53.24185917336179,-46.249032681461216,26753.946149531475,974948.5961067018,5447.5428587349115,-53.24185917340145
AAL,2019-02-12,30.04450478442764,-108.14449439439841,-138.18899917882604,27527.622840400152,1009306.2937397795,5591.513739788345,-108.1444943943973
AAL,2019-02-13,17.776428347647997,-18.201505256263594,-35.977933603911595,27424.874995804068,991554.6952879732,5468.851525463018,-18.201505256308778
AAL,2019-02-14,-119.44634731825697,-4.560722555624235,114.88562476263273,26854.166274909156,971447.8498692662,5465.81127441413,-4.5607225555964135
AAL,2019-02-15,75.47136226232783,290.3043808473525,214.83301858502466,28280.908540083678,1008517.4629357646,5664.311856334749,290.30438084735135
AAL,2019-02-19,36.763719155036135,92.7869847968829,56.02326564184677,28557.80256482572,1018569.1221248223,5694.18148493379,92.78698479689274
AAL,2019-02-20,59.60831198094898,18.949354774687496,-40.65895720626149,28482.52699589041,998043.5780827506,5686.306733474195,18.949354774678493
AAL,2019-02-21,10.654714156545353,-110.76909833035265,-121.423812486898,27678.51867315908,970096.7156284724,5500.174015657328,-110.7690983303062
AAL,2019-02-22,-34.82965430062153,-2.720998387095247,32.10865591352628,27035.703111352814,957031.6293317786,5545.291753296043,-2.7209983870964614
AAL,2019-02-25,88.46351137257341,61.41756859095382,-27.045942781619587,25999.190568793652,935671.4067722565,5166.257692756388,61.417568590951
AAL,2019-02-26,-54.805675027095596,47.51775640270222,102.32343142979781,24873.673223845843,906303.3729620639,4956.583797609503,47.51775640271979
AAL,2019-02-27,-100.94960522843044,-37.82831501986112,63.12129020856932,25081.77714958912,894226.3355035504,5098.724439748877,-37.828315019819655
AAL,2019-02-28,26.02419338009641,-20.174273020361607,-46.19846640045802,24449.606279928925,868854.5308583312,4743.341279722841,-20.174273020364495
AAL,2019-03-01,-16.01860408687574,18.860299080451018,34.878903167326754,24525.721849857022,852499.801018226,4851.08306794153,18.860299080426064
AAL,2019-03-04,167.73843333987955,184.66097198786724,16.922538647987693,24397.11514624177,829986.9640838951,4916.970865297551,184.66097198789683
AAL,2019-03-05,0.013436755264258693,-11.241975911803125,-11.255412667067384,24712.09832733942,825417.6385564127,5007.793123422036,-11.241975911795766
